S. No,State/UT,Year,Season,Scheme,District Name,Insurance Units,Farmers,Application_Loanee,Application_Non-Loanee,Thousand Hect._Area Insured,Amount In Lac._Farmers Premium,Amount In Lac._State Premium,Amount In Lac._GOI Premium,Sum Insured (In Lac.),Gender (%)_Male,Gender (%)_Female,Gender (%)_Others,Category (%)_SC,Category (%)_ST,Category (%)_OBC,Category (%)_GEN,Type of Farmer (%)_Marginal,Type of Farmer (%)_Small,Type of Farmer (%)_Others,Claim Paid (In Lac.)_Prevented Sowing,Claim Paid (In Lac.)_Localized,Claim Paid (In Lac.)_Mid-term,Claim Paid (In Lac.)_Yield Based,Claim Paid (In Lac.)_Post Harvest,Claim Paid (In Lac.)_WBCIS,Claim Paid (In Lac.)_Total Claim Paid,Claim Paid (In Lac.)_Total Farmer Benefit(Actual)
4,JHARKHAND,2018,1,4,Dhanbad,229,"23,284","3,806","21,088",10.53,0,362.57,246.26,"5,815.69",81.35,18.51,0.14,4.43,5.79,70.44,19.34,4.9,93.22,1.88,0,0,0,489,0,0,489,"15,342"
5,JHARKHAND,2018,1,4,Dumka,214,"55,237","7,476","77,006",24,0,774.14,530.83,"12,165.51",77.94,21.95,0.11,4.84,26.38,60.37,8.41,0.54,99.15,0.31,0,0,0,"1,537",0,0,"1,537","32,609"
6,JHARKHAND,2018,1,4,Garhwa,204,"40,872","5,157","40,419",32.51,0,"1,379.62","1,070.30","15,465.97",78.55,21.39,0.06,13.09,10.75,53.92,22.24,2.43,87.39,10.18,0,0,0,"1,418",0,0,"1,418","14,424"
7,JHARKHAND,2018,1,4,Giridih,353,"49,672","9,595","64,712",27.29,0,854.35,601.45,"12,645.31",70.33,29.57,0.1,4.99,4.35,76.48,14.18,3,95.86,1.14,0,1,0,"1,673",0,0,"1,674","33,369"
8,JHARKHAND,2018,1,4,Godda,204,"20,191","4,032","16,953",8.28,0,264.18,176.03,"4,409.47",79.17,20.75,0.08,4.2,18.8,61.6,15.4,7.41,85.72,6.87,0,0,0,"2,333",0,0,"2,333","17,856"
9,JHARKHAND,2018,1,4,Gumla,167,"44,700","6,801","48,101",22.04,0,513.29,271.48,"12,090.35",69.17,30.81,0.02,4.42,60.61,25.46,9.51,2.12,97.58,0.3,0,0,0,24,0,0,24,"1,350"
10,JHARKHAND,2018,1,4,Hazaribagh,254,"48,894","9,722","48,347",24.97,0,828.23,553.75,"14,573.72",75.23,24.62,0.15,5.19,2.36,81.08,11.37,40.49,55.83,3.68,0,0,0,"2,310",0,0,"2,310","22,986"
11,JHARKHAND,2018,1,4,Jamtara,124,"35,324","5,429","46,319",21.54,0,"1,126.94",890.74,"11,810.14",86.61,13.32,0.07,5.84,16.88,61.42,15.86,1.11,98.61,0.28,0,0,0,303,0,0,303,"4,833"
12,JHARKHAND,2018,1,4,Khunti,90,"34,802","2,924","39,964",21.63,0,"1,047.85",776.75,"13,554.97",69.55,30.41,0.04,6.61,62.19,23.15,8.05,0.7,99.18,0.12,0,0,0,"7,990",0,0,"7,990","32,166"
13,JHARKHAND,2018,1,4,Kodarma,107,"15,431","2,205","13,878",6.54,0,371.68,302.51,"3,458.56",60.21,39.72,0.07,4.18,2.83,74.46,18.53,62.88,35.85,1.27,0,0,0,"1,336",0,0,"1,336","13,614"
14,JHARKHAND,2018,1,4,Latehar,121,"24,632","1,579","27,983",18.58,0,"1,198.03",990,"10,401.56",69.27,30.65,0.08,5.73,31.29,42.8,20.18,3.04,95.31,1.65,0,0,0,337,0,0,337,"7,944"
15,JHARKHAND,2018,1,4,Lohardaga,73,"21,207","3,464","29,081",20.47,0,819.89,587.84,"11,602.98",75.6,24.37,0.03,4.8,60.58,26.86,7.76,1.5,98.36,0.14,0,0,0,"5,203",0,0,"5,203","18,446"
16,JHARKHAND,2018,1,4,Pakur,133,"41,840",668,"79,429",13.76,0,345.65,223.1,"7,304.50",72.49,27.48,0.03,2.61,53.82,39.19,4.38,0.34,99.59,0.07,0,0,0,"2,446",0,0,"2,446","33,630"
17,JHARKHAND,2018,1,4,Palamu,293,"64,975","13,191","66,478",49.03,0,"2,657.13","2,111.47","27,282.79",79.04,20.92,0.04,8.62,5.37,31.95,54.06,5.81,91.92,2.27,0,0,0,"6,100",0,0,"6,100","51,208"
18,JHARKHAND,2018,1,4,Pashchimi Singhbhum,225,"39,683","7,517","32,920",22.57,0,950.97,681.49,"13,473.87",75.73,24.24,0.03,3.52,71.11,23.21,2.16,2.75,96.3,0.95,0,0,0,659,0,0,659,"15,841"
19,JHARKHAND,2018,1,4,Purbi Singhbhum,188,"38,216","4,077","40,335",24.7,0,766.36,486.98,"13,969.01",82.31,17.67,0.02,2.79,35.78,45.02,16.41,4.9,94.2,0.9,0,0,0,"3,149",0,0,"3,149","25,502"
20,JHARKHAND,2018,1,4,Ramgarh,106,"18,297","2,518","17,737",10.84,0,539.32,407.87,"6,572.40",78.12,21.78,0.1,3.03,19.82,72.15,5,73.89,20.82,5.29,0,0,0,"3,141",0,0,"3,141","16,711"
21,JHARKHAND,2018,1,4,Ranchi,294,"77,296","13,920","73,049",57.15,0,"1,931.93","1,315.64","30,814.73",75.25,24.7,0.05,4.5,41.47,42.19,11.84,5.91,93.62,0.47,0,0,0,"9,337",0,0,"9,337","59,019"
22,JHARKHAND,2018,1,4,Sahibganj,148,"12,202","3,378","10,572",8.92,0,268.54,178.63,"4,495.53",79.74,20.18,0.08,3.48,40.03,45.89,10.6,7.38,91.43,1.19,0,0,0,"1,087",0,0,"1,087","5,474"
23,JHARKHAND,2018,1,4,Saraikela-Kharsawan,141,"37,098","5,453","34,976",18.9,0,698.2,482.65,"10,777.81",77.29,22.65,0.06,3.44,28.19,59.91,8.46,1.23,97.45,1.32,0,0,0,"1,303",0,0,"1,303","16,564"
24,JHARKHAND,2018,1,4,Simdega,102,"18,958","3,178","29,140",10.78,0,469.28,350.33,"5,947.64",66.25,33.73,0.02,5.37,68.53,18.97,7.13,1.02,98.59,0.39,0,0,0,"1,574",0,0,"1,574","11,689"
1,KARNATAKA,2018,1,4,Bagalkot,"1,080","1,68,658","1,30,389","38,269",0.19,0.0165,0.0539,0.0539,0.7049,81.82,18.18,0,3.57,1.53,23.98,70.92,8.63,62.44,28.93,0,0,0,0,0,0,0,0
2,KARNATAKA,2018,1,4,Ballari,"1,055","26,758","15,209","11,549",0.03,0.0046,0.0048,0.0048,0.143,75.76,24.24,0,6.15,7.18,24.62,62.05,16.24,45.18,38.58,0,0,0,0,0,0,0,0
3,KARNATAKA,2018,1,4,Belagavi,"1,761","89,719","4,557","85,162",0.1,0.0082,0.0352,0.0352,0.392,90.4,9.6,0,1.55,0,23.71,74.74,8.63,42.13,49.24,0,0,0,0,0,0,0,0
4,KARNATAKA,2018,1,4,Bengaluru Rural,195,"3,747",352,"3,395",0,0.0002,0.0004,0.0004,0.0087,82.83,17.17,0,7.07,3.03,27.27,62.63,35.35,57.58,7.07,0,0,0,0,0,0,0,0
5,KARNATAKA,2018,1,4,Bengaluru Urban,127,603,62,541,0,0,0.0001,0.0001,0.0011,88.89,11.11,0,11.11,1.01,27.27,60.61,39.8,41.84,18.36,0,0,0,0,0,0,0,0
6,KARNATAKA,2018,1,4,Bidar,"1,059","2,08,675","1,61,047","47,628",0.15,0.0101,0.0629,0.0629,0.4999,74.24,25.76,0,3.57,5.1,8.16,83.17,8.59,67.17,24.24,0,0,0,0,0,0,0,0
7,KARNATAKA,2018,1,4,ChamarajNagar,509,"27,495","2,660","24,835",0.02,0.0013,0.0095,0.0095,0.048,80.81,19.19,0,9.18,3.57,25.51,61.74,44.44,41.41,14.15,0,0,0,0,0,0,0,0
8,KARNATAKA,2018,1,4,Chikkaballapur,370,"23,631",801,"22,830",0.01,0.0015,0.0059,0.0059,0.0686,82.83,17.17,0,3.57,8.67,15.31,72.45,43.15,29.44,27.41,0,0,0,0,0,0,0,0
9,KARNATAKA,2018,1,4,Chikkamagaluru,483,"9,499","1,852","7,647",0.01,0.0007,0.0003,0.0003,0.0267,82.83,17.17,0,3.57,0,30.1,66.33,26.4,57.36,16.24,0,0,0,0,0,0,0,0
10,KARNATAKA,2018,1,4,Chitradurga,803,"65,898","12,331","53,567",0.1,0.0082,0.026,0.026,0.3842,74.24,25.76,0,6.09,11.17,20.81,61.93,15.66,54.04,30.3,0,0,0,0,0,0,0,0
11,KARNATAKA,2018,1,4,DakshinaKannada,398,352,350,2,0,0,0,0,0.0006,78.79,21.21,0,0,3.06,23.47,73.47,23.23,48.48,28.29,0,0,0,0,0,0,0,0
12,KARNATAKA,2018,1,4,Davangere,454,"17,480","7,917","9,563",0.02,0.0018,0.0044,0.0044,0.0815,80.81,19.19,0,3.61,4.64,9.79,81.96,17.86,48.47,33.67,0,0,0,0,0,0,0,0
13,KARNATAKA,2018,1,4,Dharwad,603,"2,22,000","21,489","2,00,511",0.25,0.0239,0.0652,0.0652,0.9619,86.36,13.64,0,0.51,1.02,13.71,84.76,11.22,36.73,52.05,0,0,0,0,0,0,0,0
14,KARNATAKA,2018,1,4,Gadag,743,"2,85,146","14,881","2,70,265",0.37,0.0268,0.1329,0.1329,1.28,83.84,16.16,0,2.56,1.03,18.46,77.95,14.72,41.62,43.66,0,0,0,0,0,0,0,0
15,KARNATAKA,2018,1,4,Hasan,786,"51,885","4,600","47,285",0.03,0.0036,0.0067,0.0067,0.1105,81.31,18.69,0,5.61,1.53,18.37,74.49,25.76,51.52,22.72,0,0,0,0,0,0,0,0
16,KARNATAKA,2018,1,4,Haveri,793,"1,34,518","21,556","1,12,962",0.14,0.0151,0.0469,0.0469,0.6082,89.9,10.1,0,2.04,2.04,14.29,81.63,15.82,54.08,30.1,0,0,0,0,0,0,0,0
17,KARNATAKA,2018,1,4,Kalaburgi,"1,592","61,957","56,218","5,739",0.06,0.0049,0.0188,0.0188,0.2323,77.78,22.22,0,7.61,0,24.37,68.02,18.78,46.7,34.52,0,0,0,0,0,0,0,0
18,KARNATAKA,2018,1,4,Kodagu,108,"1,039","1,011",28,0,0.0001,0,0,0.003,84.85,15.15,0,2.06,0,8.25,89.69,18.18,67.68,14.14,0,0,0,0,0,0,0,0
19,KARNATAKA,2018,1,4,Kolar,472,"19,729",783,"18,946",0.01,0.0009,0.0034,0.0034,0.0377,82.83,17.17,0,5.61,1.02,11.22,82.15,27.92,30.46,41.62,0,0,0,0,0,0,0,0
20,KARNATAKA,2018,1,4,Koppal,794,"1,42,495","18,575","1,23,920",0.18,0.0131,0.0619,0.0619,0.6643,78.79,21.21,0,3.08,3.08,23.59,70.25,10.66,46.7,42.64,0,0,0,0,0,0,0,0
21,KARNATAKA,2018,1,4,Mandya,763,"30,169",625,"29,544",0.01,0.001,0.0024,0.0024,0.0378,76.26,23.74,0,1.02,0,16.33,82.65,15.31,71.43,13.26,0,0,0,0,0,0,0,0
22,KARNATAKA,2018,1,4,Mysuru,911,"2,720",642,"2,078",0,0.0003,0.0003,0.0003,0.0076,78.79,21.21,0,4.57,1.52,49.24,44.67,22.22,56.57,21.21,0,0,0,0,0,0,0,0
23,KARNATAKA,2018,1,4,Raichur,"1,063","1,14,596","28,073","86,523",0.15,0.0156,0.0362,0.0362,0.6336,76.77,23.23,0,8.12,9.14,41.62,41.12,14.72,60.41,24.87,0,0,0,0,0,0,0,0
24,KARNATAKA,2018,1,4,Ramanagara,340,"1,682",115,"1,567",0,0.0001,0.0001,0.0001,0.0027,80.81,19.19,0,5.1,2.04,19.39,73.47,39.8,53.06,7.14,0,0,0,0,0,0,0,0
25,KARNATAKA,2018,1,4,Shivamogga,647,"22,097","12,148","9,949",0.01,0.0022,0.0044,0.0044,0.1021,82.32,17.68,0,6.67,0.51,8.21,84.61,23.86,51.78,24.36,0,0,0,0,0,0,0,0
26,KARNATAKA,2018,1,4,Tumakuru,760,"91,769","17,680","74,089",0.07,0.0059,0.0318,0.0318,0.2803,79.8,20.2,0,7.18,6.15,18.46,68.21,28.28,59.09,12.63,0,0,0,0,0,0,0,0
27,KARNATAKA,2018,1,4,Udupi,254,"4,172","4,160",12,0,0.0001,0,0,0.0032,57.58,42.42,0,0,0,6.12,93.88,3.06,90.82,6.12,0,0,0,0,0,0,0,0
28,KARNATAKA,2018,1,4,UttarKannada,318,"90,733","90,426",307,0.04,0.0042,0.019,0.019,0.2065,87.37,12.63,0,1.02,1.02,6.6,91.36,10.1,82.83,7.07,0,0,0,0,0,0,0,0
29,KARNATAKA,2018,1,4,Vijayapura,"1,261","1,62,353","11,352","1,51,001",0.26,0.0183,0.0752,0.0752,0.9534,83.84,16.16,0,5.1,0,28.57,66.33,11.73,48.47,39.8,0,0,0,0,0,0,0,0
30,KARNATAKA,2018,1,4,YADGIRI,639,"29,780","21,558","8,222",0.03,0.0037,0.0095,0.0095,0.1584,84.85,15.15,0,4.59,4.59,21.94,68.88,7.11,27.92,64.97,0,0,0,0,0,0,0,0
1,KERALA,2018,1,4,Alappuzha,63,"3,762","4,282",7,6.07,64.82,63.47,63.47,"3,233.34",56.84,40.38,2.78,1.21,0.02,21.19,77.58,36.58,54.23,9.19,786,0,0,3,0,0,789,"3,642"
2,KERALA,2018,1,4,Ernakulam,36,382,384,0,0.1,8.14,0,0,320.62,32.03,52.6,15.37,0,0.26,11.2,88.54,48.44,19.01,32.55,0,1,0,13,0,0,14,71
3,KERALA,2018,1,4,Idukki,16,319,320,0,0.03,2.78,0,0,138.82,6.25,62.81,30.94,0.31,0.31,61.25,38.13,28.44,7.5,64.06,0,0,0,0,0,0,0,0
4,KERALA,2018,1,4,Kannur,16,51,52,0,0.02,1.93,0,0,74.42,65.38,34.62,0,0,0,40.38,59.62,71.15,19.23,9.62,0,0,0,0,0,0,0,11
5,KERALA,2018,1,4,Kasaragod,11,33,36,0,0.01,0.599,0,0,29.82,83.33,16.67,0,0,0,2.78,97.22,33.33,19.44,47.23,0,0,0,0,0,0,0,0
6,KERALA,2018,1,4,Kollam,34,322,348,5,0.04,2.94,0,0,146.78,56.66,43.34,0,0.57,0.57,32.01,66.85,78.75,20.68,0.57,0,1,0,4,0,0,5,104
7,KERALA,2018,1,4,Kottayam,26,349,407,0,0.26,4.97,0.9623,0.9623,247.59,73.96,26.04,0,1.97,0.25,37.1,60.68,33.66,60.2,6.14,48,0,0,8,0,0,56,304
8,KERALA,2018,1,4,Kozhikode,9,35,35,0,0.01,0.7727,0,0,24.17,68.57,31.43,0,2.86,0,68.57,28.57,17.14,71.43,11.43,0,0,0,0,0,0,0,0
9,KERALA,2018,1,4,Malappuram,26,54,66,0,0.02,1.19,0,0,59.52,83.33,16.67,0,0,0,37.88,62.12,77.27,21.21,1.52,0,0,0,4,0,0,4,21
10,KERALA,2018,1,4,Palakkad,62,754,769,3,0.26,20.9,0,0,835.95,75,25,0,0,0.39,40.41,59.2,41.84,53.76,4.4,0,0,0,23,0,0,23,284
11,KERALA,2018,1,4,Pathanamthitta,23,122,162,0,0.06,3.2,1.52,1.52,154.19,72.84,27.16,0,0,0,6.17,93.83,53.7,45.68,0.62,0,0,0,3,0,0,3,32
12,KERALA,2018,1,4,Thiruvananthapuram,25,105,106,0,0.02,3.24,0,0,125.41,43.4,56.6,0,0.94,0,49.06,50,70.75,24.53,4.72,0,2,0,5,0,0,7,25
13,KERALA,2018,1,4,Thrissur,31,200,216,0,0.04,3.65,0,0,140.58,57.87,42.13,0,1.85,0,11.57,86.58,38.89,41.67,19.44,0,0,0,1,0,0,1,3
14,KERALA,2018,1,4,Wayanad,13,61,61,0,0.01,1.26,0,0,48.39,86.89,13.11,0,0,0,39.34,60.66,40.98,44.26,14.76,0,1,0,0,0,0,1,8
1,MADHYA PRADESH,2018,1,4,Agar Malwa,238,"50,972","53,057",67,134.59,"1,292.03","5,813.81","5,813.81","64,601.69",87.75,12.1,0.15,8.3,1.34,60.54,29.82,24.28,42.48,33.24,0,13,0,"14,776",0,0,"14,789","32,934"
2,MADHYA PRADESH,2018,1,4,Alirajpur,219,"29,703","66,992","3,775",31.71,196.28,157.76,157.76,"9,103.55",94.58,5.39,0.03,0.37,98.49,0.6,0.54,2.69,90.77,6.54,0,0,0,10,0,0,10,"1,064"
3,MADHYA PRADESH,2018,1,4,Anuppur,271,"9,020","9,317",27,20.01,84.05,312.3,312.3,"4,202.44",87.79,12.18,0.03,6.32,36.27,41.74,15.67,24.6,54.69,20.71,0,0,0,"1,355",0,0,"1,355","6,287"
4,MADHYA PRADESH,2018,1,4,Ashoknagar,318,"33,793","37,701",71,119.22,759.36,801.87,801.87,"37,968.11",93.57,6.28,0.15,10.89,1.4,55.64,32.07,23.01,35.24,41.75,0,17,0,927,0,0,944,"4,134"
5,MADHYA PRADESH,2018,1,4,Balaghat,683,"80,924","87,597",133,108.64,749.22,479.25,479.25,"37,460.91",78.65,21.28,0.07,3.67,8.7,84.95,2.68,6.7,79.3,14,0,0,0,375,0,0,375,"5,702"
6,MADHYA PRADESH,2018,1,4,Barwani,314,"53,016","91,121",483,60.37,647.7,383.91,383.91,"20,975.29",89.98,9.95,0.07,1.84,74.53,18.3,5.33,28.92,53.87,17.21,0,0,0,136,0,0,136,"6,344"
7,MADHYA PRADESH,2018,1,4,Betul,570,"1,07,313","1,04,334","16,417",226.67,"1,521.87","6,832.71","6,832.71","76,093.62",84.83,15.08,0.09,5.58,25.94,53.89,14.59,13.6,62.5,23.9,0,0,0,"9,997",0,0,"9,997","44,003"
8,MADHYA PRADESH,2018,1,4,Bhind,211,"11,568","12,392",4,32.1,97.98,32.46,32.46,"4,898.95",93.28,6.5,0.22,6.31,0.75,31.37,61.57,15.57,43.98,40.45,0,0,0,54,0,0,54,345
9,MADHYA PRADESH,2018,1,4,Bhopal,188,"43,396","44,428","1,061",108.99,720.56,"3,165.92","3,165.92","36,028.19",88.67,11.19,0.14,5.51,1.42,59.96,33.11,17.32,50.22,32.46,0,0,0,"4,039",0,0,"4,039","21,914"
10,MADHYA PRADESH,2018,1,4,Burhanpur,64,"5,619","6,213",170,7.6,92.63,54.51,54.51,"3,416.59",78.35,21.57,0.08,3.56,56.31,33.5,6.63,10.83,76.01,13.16,0,0,0,29,0,0,29,270
11,MADHYA PRADESH,2018,1,4,Chhatarpur,139,"34,559","38,771",324,69.24,360.26,470.33,470.33,"18,013.27",88.44,11.44,0.12,12.06,1.79,52.26,33.89,23.1,54.74,22.16,0,7,0,154,0,0,161,"1,561"
12,MADHYA PRADESH,2018,1,4,Chhindwara,717,"71,286","86,129","4,107",103.59,672.15,"2,519.64","2,519.64","27,381.19",80.32,19.54,0.14,6,17.18,62.54,14.28,15.36,64.87,19.77,0,0,0,"1,101",0,0,"1,101","12,095"
13,MADHYA PRADESH,2018,1,4,Damoh,388,"43,691","47,520",13,111.8,544.41,"1,518.63","1,518.63","27,220.37",86.58,13.2,0.22,5.52,4.49,67.61,22.38,22.24,48.05,29.71,0,7,0,157,0,0,164,726
14,MADHYA PRADESH,2018,1,4,Datia,88,"24,563","30,154",491,61.86,484.71,335.12,335.12,"24,235.37",94.71,5.07,0.22,10.37,3.28,64.78,21.57,26.17,40.02,33.81,0,34,0,501,0,0,535,"6,487"
15,MADHYA PRADESH,2018,1,4,Dewas,517,"1,71,289","1,81,301","6,167",434.73,"2,776.02","12,403.34","12,403.34","1,38,640.89",87.63,12.23,0.14,5.8,8.5,56.08,29.62,19.35,53.92,26.73,0,2,0,"14,122",0,0,"14,124","69,819"
16,MADHYA PRADESH,2018,1,4,Dhar,657,"1,33,104","1,49,649","1,783",265.74,"1,842.64","3,528.38","3,528.38","87,283.24",86.75,13.16,0.09,2.68,36.56,35.38,25.38,16.65,62.68,20.67,0,0,0,"5,482",0,0,"5,482","37,360"
17,MADHYA PRADESH,2018,1,4,Dindori,339,"8,830","9,397",424,14.18,68.52,186.31,186.31,"3,426.07",83.38,16.56,0.06,5.94,52.39,38.59,3.08,13.74,75.27,10.99,0,0,0,123,0,0,123,"2,353"
18,MADHYA PRADESH,2018,1,4,Guna,435,"48,804","52,712",308,153.2,"1,006.99","3,363.17","3,363.17","50,349.71",93,6.79,0.21,7.3,4.68,66.88,21.14,17,34.82,48.18,0,14,0,"1,924",0,0,"1,938","9,101"
19,MADHYA PRADESH,2018,1,4,Gwalior,246,"13,145","13,978",216,37.57,227.05,466.81,466.81,"11,352.45",92.32,7.53,0.15,7.05,1.66,55.58,35.71,15.98,36.03,47.99,0,7,0,105,0,0,112,898
20,MADHYA PRADESH,2018,1,4,Harda,198,"51,243","57,093",92,170.16,"1,186.59","6,766.08","6,766.08","59,329.38",85.73,14.15,0.12,6.32,5.48,58.26,29.94,12.69,39.31,48,0,0,0,"2,874",0,0,"2,874","8,919"
21,MADHYA PRADESH,2018,1,4,Hoshangabad,413,"81,072","92,929",363,227.6,"1,711.78","3,979.05","3,979.05","85,589.25",87.95,11.92,0.13,4.91,5.1,54.72,35.27,15.5,42.06,42.44,0,0,0,"2,780",0,0,"2,780","14,700"
22,MADHYA PRADESH,2018,1,4,Indore,329,"68,294","73,418",513,174.05,"1,392.42","4,525.36","4,525.36","69,620.94",81.66,18.12,0.22,4.25,2.61,65.05,28.09,17.47,52.22,30.31,0,0,0,849,0,0,849,"6,575"
23,MADHYA PRADESH,2018,1,4,Jabalpur,438,"27,167","30,790",79,59,367.32,"1,429.26","1,429.26","18,365.85",87.88,11.99,0.13,3.63,6.84,61.68,27.85,16.78,58.66,24.56,0,0,0,85,0,0,85,869
24,MADHYA PRADESH,2018,1,4,Jhabua,343,"39,832","72,182",835,40.85,302.89,450.51,450.51,"13,510.41",91.27,8.7,0.03,1.06,83.87,9.28,5.79,1.55,94.68,3.77,0,0,0,12,0,0,12,627
25,MADHYA PRADESH,2018,1,4,Katni,391,"18,952","20,233",107,42.25,281.33,247.61,247.61,"14,066.31",89.73,10.09,0.18,4.42,5.96,56.5,33.12,19.2,54.6,26.2,0,0,0,164,0,0,164,"1,147"
26,MADHYA PRADESH,2018,1,4,Khandwa (East Nimar),414,"71,427","90,832",742,143.83,"1,427.81","3,812.58","3,812.58","59,132.68",84.94,14.95,0.11,5.05,15.65,49.45,29.85,12.94,60.51,26.55,0,0,0,"8,407",0,0,"8,407","40,988"
27,MADHYA PRADESH,2018,1,4,Khargone (West Nimar),361,"1,19,702","1,67,191",977,130.05,"1,621.96",433.33,433.33,"57,456.69",83.79,16.12,0.09,3.24,24.56,56.88,15.32,25.24,52.21,22.55,0,0,0,136,0,0,136,"4,481"
28,MADHYA PRADESH,2018,1,4,Mandla,455,"16,913","15,868","1,634",27.07,138.78,109.68,109.68,"6,939.24",81.68,18.27,0.05,6.07,48.13,38.9,6.9,11.03,74.72,14.25,0,0,0,387,0,0,387,"4,601"
29,MADHYA PRADESH,2018,1,4,Mandsaur,449,"1,17,207","1,30,236","1,233",220.3,"2,374.83","6,162.15","6,162.15","1,18,741.30",81.83,18.09,0.08,10.72,2.34,59.43,27.51,8.79,65.24,25.97,0,351,0,"30,532",0,0,"30,883","1,00,264"
30,MADHYA PRADESH,2018,1,4,Morena,458,"12,831","12,721","1,777",22.31,110.65,181.77,181.77,"5,532.52",95.41,4.54,0.05,8.01,0.8,45.51,45.68,15.06,58.78,26.16,0,0,0,262,0,0,262,"5,836"
31,MADHYA PRADESH,2018,1,4,Narsimhapur,455,"46,114","62,844",365,100.63,516.65,"1,899.87","1,899.87","25,832.57",87.94,11.86,0.2,7.35,4.57,62.98,25.1,15.35,46.6,38.05,0,0,0,530,0,0,530,"8,452"
32,MADHYA PRADESH,2018,1,4,Neemuch,250,"66,467","74,984",74,110.83,"1,195.36","2,985.98","2,985.98","59,767.77",81.62,18.29,0.09,7.46,2.66,66.59,23.29,10.91,68.18,20.91,0,"1,502",0,"6,911",0,0,"8,413","34,189"
33,MADHYA PRADESH,2018,1,4,Panna,223,"15,619","15,511","1,502",37.77,164.15,407.86,407.86,"8,198.12",90.69,9.24,0.07,7.36,2.02,45.98,44.64,24.07,42.99,32.94,0,12,0,9,0,0,21,318
34,MADHYA PRADESH,2018,1,4,Raisen,496,"1,01,780","1,19,593","1,333",322.73,"1,892.55","4,905.79","4,905.79","94,627.70",90.6,9.17,0.23,6.07,4.77,54.2,34.96,19.71,32.73,47.56,0,0,0,"10,326",0,0,"10,326","43,143"
35,MADHYA PRADESH,2018,1,4,Rajgarh,637,"1,55,680","1,63,984","1,096",406.9,"2,846.30","12,802.77","12,802.77","1,42,315.06",91.9,7.9,0.2,5.52,1.7,68.41,24.37,18.55,48.77,32.68,0,0,0,"1,887",0,0,"1,887","8,740"
36,MADHYA PRADESH,2018,1,4,Ratlam,432,"85,057","87,754",548,155.52,"1,618.02","5,236.62","5,236.62","80,777.08",83.11,16.79,0.1,8.14,11.26,48.58,32.02,8.77,60.05,31.18,0,593,0,"15,065",0,0,"15,658","49,707"
37,MADHYA PRADESH,2018,1,4,Rewa,455,"26,285","27,320","3,318",49.53,255.51,690.06,690.06,"12,775.54",92.17,7.68,0.15,1.42,0.86,31.89,65.83,15.83,64.58,19.59,0,0,0,"2,117",0,0,"2,117","11,892"
38,MADHYA PRADESH,2018,1,4,Sagar,761,"1,19,604","1,33,997","4,626",313.32,"1,848.44","8,116.82","8,116.82","92,422.23",90.31,9.53,0.16,6.99,2.41,64.64,25.96,15.92,46.14,37.94,0,14,0,774,0,0,788,"4,990"
39,MADHYA PRADESH,2018,1,4,Satna,572,"36,900","35,212","9,031",62.35,406.31,"1,322.51","1,322.51","20,315.25",90.41,9.52,0.07,5.35,2.33,33.28,59.04,17.51,58.96,23.53,0,0,0,"1,665",0,0,"1,665","11,592"
40,MADHYA PRADESH,2018,1,4,Sehore,504,"1,57,310","1,68,916",571,400.7,"3,059.17","14,152.21","14,152.21","1,52,958.65",88.18,11.67,0.15,5.77,3.44,55.95,34.84,21.11,50.17,28.72,0,0,0,"3,652",0,0,"3,652","19,294"
41,MADHYA PRADESH,2018,1,4,Seoni,627,"63,605","73,627","2,449",150.82,806.45,"2,031.71","2,031.71","40,322.73",85.91,13.86,0.23,5.91,14.94,59.21,19.94,20.5,52.29,27.21,0,0,0,"4,989",0,0,"4,989","23,499"
42,MADHYA PRADESH,2018,1,4,Shahdol,388,"13,893","11,532","3,360",26.63,114.06,298.8,298.8,"5,702.96",89.04,10.89,0.07,5.4,21.38,37.93,35.29,20.86,60.53,18.61,0,0,0,"1,123",0,0,"1,123","8,355"
43,MADHYA PRADESH,2018,1,4,Shajapur,256,"99,849","1,05,576",115,255.51,"2,452.87","9,443.49","9,443.49","1,22,643.75",90.24,9.6,0.16,5.23,1.57,64.09,29.11,19.72,52.09,28.19,0,22,0,"7,554",0,0,"7,576","20,670"
44,MADHYA PRADESH,2018,1,4,Sheopur,217,"14,010","19,382",490,36.55,280.69,546.34,546.34,"14,034.30",94.78,4.94,0.28,9,3.76,74.9,12.34,20.53,33.58,45.89,0,0,0,469,0,0,469,"2,332"
45,MADHYA PRADESH,2018,1,4,Shivpuri,348,"40,541","43,176",298,114.93,702.66,"1,606.75","1,606.75","35,132.77",91.14,8.53,0.33,7.36,1.53,73.78,17.33,20.89,43.15,35.96,0,11,0,157,0,0,168,"1,412"
46,MADHYA PRADESH,2018,1,4,Sidhi,322,"4,500","3,400","1,252",6.54,49.4,60.52,60.52,"2,469.99",91.38,8.58,0.04,2.39,14.12,27.94,55.55,31.53,58.68,9.79,0,0,0,74,0,0,74,679
47,MADHYA PRADESH,2018,1,4,Singrauli,198,"4,866","1,136","4,017",2.46,14.87,38.9,38.9,743.28,93.19,6.75,0.06,7.01,31.42,49.84,11.73,17.6,75.8,6.6,0,0,0,0,0,0,0,0
48,MADHYA PRADESH,2018,1,4,Tikamgarh,86,"20,421","21,933",47,37.54,191.08,221.15,221.15,"9,553.93",89.32,10.55,0.13,12.96,1.37,64.6,21.07,20.24,58.06,21.7,0,18,0,0,0,0,18,61
